;FO;OOT_2012;IP_2012;IAP_2012;IPHV_2011;SUMD_2011
Белгородская область;ЦФО;409330;103.8;100.7;111;1080
Брянская область;ЦФО;110055;108.9;98.2;108.2;1698
Владимирская область;ЦФО;244800;100.7;100.1;102.9;4204
Воронежская область;ЦФО;250019;98.5;100.1;111.4;7362
Ивановская область;ЦФО;82750;117.2;100.2;100.6;2324
Калужская область;ЦФО;420364;104.9;100;112.9;5153
Костромская область;ЦФО;96283;116.6;98;103.9;561
Курская область;ЦФО;104612;102;101;108.4;869
Липецкая область;ЦФО;382979;108.5;99.9;104.8;4046
Московская область;ЦФО;1528670;106.1;100.4;108.1;30616
Орловская область;ЦФО;70810;102.8;100.2;113.3;910
Рязанская область;ЦФО;173419;107.9;99.9;108.6;2285
Смоленская область;ЦФО;129460;109.9;100;104.7;1075
Тамбовская область;ЦФО;83331;103.2;100.1;112.8;1079
Тверская область;ЦФО;165889;104.4;99.7;105.7;4714
Тульская область;ЦФО;327597;110.8;100;105.3;4807
Ярославская область;ЦФО;219859;109.2;99.1;107;2593
г. Москва;ЦФО;2655111;109.5;101.5;102.8;34307
Республика Карелия;СЗФО;54158;107.3;93.9;102.2;3124
Республика Коми;СЗФО;147305;117.1;98.6;105.7;421
Архангельская область ;СЗФО;119015;101.9;99.7;101.7;4381
Вологодская область;СЗФО;388255;108.9;98.6;106.9;3387
Калининградская область;СЗФО;325691;117.9;100.1;104.6;5288
Ленинградская область;СЗФО;504378;107.1;100.9;106.5;7701
Мурманская область;СЗФО;96299;88.2;98.3;99.8;716
Новгородская область;СЗФО;124884;108.5;100.2;103.7;2889
Псковская область;СЗФО;62390;108.7;101.2;106.5;712
г. Санкт-Петербург;СЗФО;2069394;106.3;101.4;108.3;17826
Республика Адыгея;ЮФО;23705;100.4;99.7;105.6;1387
Республика Калмыкия;ЮФО;862;102.6;99.7;102.2;5
Краснодарский край;ЮФО;483091;106.8;100.6;107.6;6507
Астраханская область;ЮФО;39812;127.3;100.2;107.8;669
Волгоградская область;ЮФО;487116;113.2;99.7;103.3;3992
Ростовская область;ЮФО;489848;106.9;100.3;106.8;7867
Республика Дагестан;СКФО;27508;109;101.9;108;70
Республика Ингушетия;СКФО;2594;112.3;100.6;109.4;3
Кабардино-Балкарская Республика;СКФО;34268;113;99.6;104.1;690
Карачаево-Черкесская Республика;СКФО;34094;115.3;101.3;105.2;436
Республика Северная Осетия - Алания;СКФО;15564;101.1;100;102.9;950
Чеченская Республика;СКФО;3065;103.2;111.3;106.8;54
Ставропольский край;СКФО;162289;112.5;100.7;106.7;2527
Республика Башкортостан;ПФО;924132;109.8;99.4;108.2;2233
Республика Марий Эл;ПФО;85833;112.6;99.8;106;844
Республика Мордовия;ПФО;101320;106.1;99.4;109.4;776
Республика Татарстан;ПФО;995068;111.1;100.5;105.7;8799
Удмуртская Республика;ПФО;171789;104.8;99.7;104.8;14320
Чувашская Республика;ПФО;131448;109.2;99.6;106.7;1962
Пермский край;ПФО;760028;114.4;101.5;108.3;5517
Кировская область;ПФО;131145;114.3;98.8;104.8;1330
Нижегородская область;ПФО;898070;110.6;99.4;106.9;11006
Оренбургская область;ПФО;211629;110.7;99.8;105.1;4392
Пензенская область;ПФО;115379;103.8;99.9;107.9;1119
Самарская область;ПФО;757031;111.5;99.7;105.9;4738
Саратовская область;ПФО;246788;108.3;99.8;108;1812
Ульяновская область;ПФО;157823;109.3;100.4;107.9;4983
Курганская область;УФО;67496;105.4;96.6;106.8;915
Свердловская область;УФО;1212347;107;99.2;108.9;22525
Тюменская область;УФО;995337;110.9;100.8;103.1;8286
Ханты-Мансийский автономный округ - Югра;УФО;106657;125.6;100.7;100.9;2154
Ямало-Ненецкий автономный округ;УФО;115409;100.1;100.7;102.7;420
Челябинская область;УФО;936031;107.9;100.8;105.3;16745
Республика Алтай;СФО;1367;103.8;97.6;102.7;3
Республика Бурятия;СФО;46116;111.7;100.1;103.8;61
Республика Тыва;СФО;681;109.6;99.9;100.9;4
Республика Хакасия;СФО;61764;92.2;98.5;105.1;290
Алтайский край;СФО;198976;98.6;99.7;103.9;1214
Забайкальский край;СФО;25066;103.4;99.9;107.8;163
Красноярский край;СФО;629581;100;99.9;105.7;5032
Иркутская область;СФО;310081;104.6;98.4;104.5;6479
Кемеровская область;СФО;376757;104.8;100.6;102.3;7363
Новосибирская область;СФО;284940;106.8;101.4;108.4;4702
Омская область;СФО;609983;113.2;100.1;106.1;3790
Томская область;СФО;106362;106.8;99.1;103.6;2450
Республика Саха (Якутия);ДФО;28029;106.1;100.5;107.1;778
Камчатский край;ДФО;42342;104.3;100.2;103.5;261
Приморский край;ДФО;150092;103.4;100.3;107.3;1597
Хабаровский край;ДФО;120201;113;100.5;102.5;6832
Амурская область;ДФО;22025;109.5;100.1;108.1;906
Магаданская область;ДФО;3895;115.3;99.7;102.4;5
Сахалинская область;ДФО;25521;104.7;99.8;104.3;262
Еврейская автономная область;ДФО;3648;109.8;97.3;104.8;79
Чукотский автономный округ;ДФО;605;124.7;95.4;95.8;53
